Applicant_ID,Sex,Age,State,Assessment_Type,Extroversion_Score
A67,Female,17,NY,BFI,7.0
A68,Male,31,NJ,EPI,19.0
A69,Female,18,NJ,EPI,9.0
A70,Female,32,NJ,BFI,19.0
A71,Female,24,NJ,EPI,21.0
A72,Female,29,NJ,BFI,18.0
A73,Male,17,NY,BFI,32.0
A74,Female,32,NJ,BFI,34.0
A75,Male,23,NY,BFI,19.0
A76,Female,21,NY,BFI,25.0
A77,Female,19,NY,BFI,15.0
A78,Female,28,NJ,BFI,29.0
A79,Male,32,NJ,BFI,29.0
A80,Female,35,NJ,BFI,21.0
A81,Male,21,NY,EPI,17.0
A82,Female,30,NY,BFI,22.0
A83,Male,21,NY,BFI,13.0
A84,Female,31,NY,EPI,8.0
A85,Male,33,NY,BFI,18.0
A86,Male,30,NY,BFI,18.0
A87,Female,21,NJ,EPI,13.0
A88,Male,28,NJ,BFI,29.0
A89,Female,32,NJ,EPI,8.0
A90,Female,32,NJ,EPI,10.0
A91,Female,23,NY,EPI,9.0
A92,Female,20,NY,EPI,18.0
A93,Female,17,NJ,BFI,36.0
A94,Female,21,NY,BFI,15.0
A95,Female,26,NJ,EPI,14.0
A96,Female,21,NJ,EPI,10.0
A97,Female,20,NJ,EPI,16.0
A98,Female,18,NY,BFI,30.0
A99,Female,26,NJ,BFI,32.0
A100,Male,35,NJ,BFI,24.0
A101,Male,17,NJ,BFI,20.0
A102,Female,21,NY,EPI,11.0
A103,Female,29,NY,BFI,24.0
A104,Female,20,NJ,EPI,19.0
A105,Female,32,NY,BFI,20.0
A106,Female,32,NY,BFI,23.0
A107,Female,18,NY,BFI,16.0
A108,Female,33,NY,EPI,9.0
A109,Female,28,NY,EPI,11.0
A110,Male,34,NY,EPI,12.0
A111,Female,19,NY,EPI,13.0
A112,Male,17,NY,EPI,15.0
A113,Female,17,NY,BFI,35.0
A114,Female,35,NY,EPI,15.0
A115,Male,27,NJ,BFI,23.0
A116,Female,21,NJ,BFI,25.0
A117,Male,28,NY,EPI,12.0
A118,Female,19,NJ,BFI,13.0
A119,Female,17,NJ,BFI,26.0
A120,Male,17,NY,BFI,10.0
A121,Female,24,NY,BFI,19.0
A122,Male,26,NY,EPI,11.0
A123,Female,27,NJ,EPI,11.0
A124,Male,28,NJ,BFI,18.0
A125,Male,29,NY,EPI,14.0
A126,Female,28,NY,EPI,12.0
A127,Female,30,NY,EPI,8.0
A128,Male,18,NJ,EPI,14.0
A129,Female,35,NJ,EPI,15.0
A130,Female,34,NJ,EPI,15.0
A131,Female,19,NJ,EPI,17.0
A132,Male,33,NY,EPI,8.0
A133,Male,24,NY,EPI,14.0
A134,Male,26,NY,EPI,11.0
A135,Male,18,NY,EPI,13.0
A136,Male,35,NJ,EPI,11.0
A137,Male,25,NJ,BFI,28.0
A138,Male,23,NY,EPI,19.0
A139,Male,20,NY,EPI,9.0
A140,Male,34,NJ,BFI,20.0
A141,Female,29,NY,EPI,22.0
A142,Male,27,NJ,EPI,24.0
A143,Female,20,NY,BFI,21.0
A144,Female,20,NY,EPI,12.0
A145,Female,26,NY,EPI,10.0
A146,Male,21,NY,BFI,21.0
A147,Male,25,NY,EPI,9.0
A148,Male,19,NY,EPI,9.0
A149,Male,33,NY,EPI,21.0
A150,Female,19,NJ,BFI,28.0
A151,Male,32,NJ,EPI,10.0
A152,Male,20,NJ,EPI,9.0
A153,Male,34,NJ,EPI,18.0
A154,Male,33,NJ,BFI,18.0
A155,Male,23,NY,BFI,15.0
A156,Female,21,NY,BFI,30.0
A157,Male,28,NJ,BFI,31.0
A158,Female,33,NY,BFI,33.0
A159,Male,29,NJ,EPI,12.0
A160,Female,19,NJ,BFI,29.0
A161,Male,25,NY,BFI,36.0
A162,Male,33,NY,BFI,30.0
A163,Female,33,NY,BFI,10.0
A164,Female,32,NJ,BFI,34.0
A165,Female,29,NY,EPI,12.0
A166,Male,35,NJ,EPI,12.0
A167,Female,33,NJ,EPI,13.0
A168,Male,20,NJ,EPI,10.0
A169,Male,28,NY,EPI,11.0
A170,Female,25,NY,EPI,11.0
A171,Female,35,NJ,EPI,8.0
A172,Male,28,NY,BFI,23.0
A173,Male,25,NY,EPI,15.0
A174,Female,23,NY,BFI,16.0
A175,Female,30,NJ,BFI,22.0
A176,Female,35,NJ,EPI,12.0
A177,Male,31,NY,EPI,11.0
A178,Male,32,NJ,EPI,11.0
A179,Male,21,NY,EPI,18.0
A180,Male,19,NY,EPI,8.0
A181,Male,28,NY,EPI,8.0
A182,Male,20,NY,EPI,7.0
A183,Female,32,NJ,BFI,28.0
A184,Male,23,NJ,BFI,22.0
A185,Male,29,NJ,BFI,16.0
A186,Male,26,NY,BFI,32.0
A187,Female,23,NY,BFI,22.0
A188,Male,30,NY,EPI,10.0
A189,Male,21,NJ,EPI,17.0
A190,Female,19,NY,EPI,9.0
A191,Male,27,NJ,EPI,9.0
A192,Male,27,NJ,BFI,37.0
A193,Male,34,NJ,BFI,26.0
A194,Male,31,NJ,BFI,24.0
A195,Male,28,NJ,BFI,38.0
A196,Female,25,NJ,EPI,14.0
A197,Female,26,NY,EPI,9.0
A198,Female,28,NY,EPI,9.0
A199,Male,33,NJ,BFI,25.0
A200,Male,22,NJ,EPI,21.0
A201,Male,23,NY,BFI,24.0
A202,Female,30,NJ,BFI,31.0
A203,Male,29,NJ,BFI,20.0
A204,Male,24,NY,BFI,26.0
A205,Female,26,NJ,EPI,9.0
A206,Male,25,NJ,BFI,19.0
A207,Female,34,NJ,BFI,18.0
A208,Female,18,NY,EPI,10.0
A209,Female,21,NY,EPI,10.0
A210,Male,21,NY,BFI,30.0
A211,Male,22,NJ,BFI,17.0
A212,Male,35,NJ,BFI,23.0
A213,Male,24,NY,BFI,38.0
A214,Male,32,NJ,BFI,25.0
A215,Male,29,NJ,EPI,20.0
A216,Male,17,NJ,EPI,6.0
A217,Female,33,NJ,BFI,20.0
A218,Male,23,NJ,BFI,17.0
A219,Female,29,NY,BFI,24.0
A220,Male,20,NJ,BFI,25.0
A221,Male,20,NY,BFI,13.0
A222,Male,22,NJ,BFI,25.0
A223,Female,35,NY,EPI,8.0
A224,Female,28,NJ,BFI,18.0
A225,Female,23,NY,EPI,24.0
A226,Female,26,NJ,BFI,28.0
A227,Male,35,NY,EPI,8.0
A228,Female,23,NJ,BFI,27.0
A229,Male,19,NY,BFI,22.0
A230,Male,29,NJ,BFI,16.0
A231,Female,29,NY,BFI,20.0
A232,Female,34,NY,BFI,19.0
A233,Female,24,NJ,BFI,23.0
A234,Female,25,NJ,BFI,30.0
A235,Female,23,NY,EPI,10.0
A236,Female,17,NJ,EPI,8.0
A237,Female,19,NY,BFI,17.0
A238,Female,29,NY,EPI,16.0
A239,Male,33,NY,BFI,26.0
A240,Female,17,NJ,EPI,16.0
A241,Female,22,NY,BFI,27.0
A242,Male,22,NY,EPI,12.0
A243,Female,28,NJ,BFI,27.0
A244,Male,29,NJ,EPI,13.0
A245,Male,29,NJ,EPI,14.0
A246,Female,31,NJ,EPI,20.0
A247,Male,32,NY,BFI,33.0
A248,Male,27,NY,EPI,16.0
A249,Male,21,NY,EPI,15.0
A250,Male,20,NY,BFI,30.0
A251,Female,19,NJ,BFI,27.0
A252,Male,35,NY,EPI,22.0
A253,Female,34,NY,EPI,14.0
A254,Male,31,NJ,EPI,12.0
A255,Male,25,NY,EPI,12.0
A256,Male,33,NY,EPI,13.0
A257,Male,30,NY,BFI,13.0
A258,Female,31,NY,EPI,20.0
A259,Female,17,NY,EPI,8.0
A260,Male,19,NY,BFI,14.0
A261,Male,32,NJ,BFI,30.0
A262,Female,27,NJ,EPI,18.0
A263,Male,28,NY,BFI,20.0
A264,Male,26,NY,EPI,11.0
A265,Male,32,NJ,BFI,15.0
A266,Female,24,NY,EPI,15.0
A267,Female,22,NY,BFI,33.0
A268,Female,28,NY,EPI,19.0
A269,Male,24,NJ,EPI,13.0
A270,Male,20,NY,BFI,14.0
A271,Female,24,NJ,EPI,8.0
A272,Female,34,NY,BFI,15.0
A273,Female,21,NJ,EPI,15.0
A274,Female,25,NJ,EPI,17.0
A275,Male,20,NY,BFI,28.0
A276,Female,33,NJ,BFI,12.0
A277,Male,25,NY,BFI,31.0
A278,Female,17,NJ,EPI,8.0
A279,Male,29,NY,EPI,18.0
A280,Female,32,NY,EPI,21.0
A281,Female,29,NJ,BFI,30.0
A282,Female,30,NY,EPI,12.0
A283,Female,19,NY,BFI,23.0
A284,Male,22,NJ,EPI,11.0
A285,Female,34,NY,EPI,13.0
A286,Male,35,NY,BFI,21.0
A287,Male,21,NJ,BFI,28.0
A288,Male,31,NJ,EPI,19.0
A289,Male,18,NY,BFI,28.0
A290,Female,26,NY,BFI,16.0
A291,Male,34,NJ,BFI,22.0
A292,Male,29,NJ,EPI,15.0
A293,Male,21,NY,BFI,26.0
A294,Female,17,NJ,EPI,11.0
A295,Female,17,NY,EPI,12.0
A296,Female,34,NY,BFI,38.0
A297,Female,31,NY,EPI,8.0
A298,Male,33,NY,EPI,10.0
A299,Male,27,NY,BFI,16.0
A300,Female,33,NJ,BFI,14.0
A301,Male,29,NJ,EPI,13.0
A302,Male,17,NJ,EPI,10.0
A303,Male,18,NJ,EPI,9.0
A304,Female,25,NY,EPI,12.0
A305,Female,19,NY,EPI,19.0
A306,Male,17,NY,EPI,11.0
A307,Female,32,NY,BFI,25.0
A308,Female,22,NJ,EPI,16.0
A309,Female,33,NY,EPI,13.0
A310,Female,21,NY,EPI,14.0
A311,Female,21,NJ,EPI,12.0
A312,Male,22,NJ,EPI,14.0
A313,Female,19,NJ,BFI,36.0
A314,Male,21,NJ,BFI,27.0
A315,Male,21,NY,BFI,25.0
A316,Female,26,NY,BFI,35.0
A317,Male,26,NJ,BFI,19.0
A318,Male,35,NY,BFI,26.0
A319,Male,33,NY,EPI,12.0
A320,Female,30,NY,EPI,15.0
A321,Female,25,NJ,EPI,10.0
A322,Male,30,NY,EPI,16.0
A323,Female,17,NJ,BFI,24.0
A324,Female,35,NY,BFI,26.0
A325,Female,29,NY,BFI,24.0
A326,Female,29,NY,EPI,21.0
A327,Male,20,NJ,EPI,8.0
A328,Male,17,NY,EPI,13.0
A329,Female,33,NJ,EPI,11.0
A330,Female,24,NJ,EPI,11.0
A331,Male,18,NJ,BFI,25.0
A332,Male,24,NY,EPI,9.0
A333,Female,23,NY,BFI,26.0
A334,Male,18,NY,EPI,12.0
A335,Female,19,NY,BFI,23.0
A336,Female,34,NJ,EPI,11.0
A337,Male,28,NJ,EPI,16.0
A338,Male,17,NJ,BFI,23.0
A339,Female,28,NY,EPI,7.0
A340,Female,21,NJ,EPI,19.0
A341,Male,33,NY,EPI,8.0
A342,Female,32,NJ,EPI,24.0
A343,Male,31,NY,BFI,13.0
A344,Female,31,NY,BFI,31.0
A345,Male,21,NJ,BFI,30.0
A346,Male,30,NJ,BFI,11.0
A347,Male,18,NJ,EPI,11.0
A348,Female,27,NJ,BFI,19.0
A349,Female,35,NY,BFI,33.0
A350,Male,23,NJ,EPI,17.0
A351,Female,22,NJ,EPI,16.0
A352,Male,18,NJ,EPI,12.0
A353,Male,22,NY,EPI,7.0
A354,Female,34,NY,BFI,21.0
A355,Female,18,NJ,EPI,13.0
A356,Male,34,NY,EPI,13.0
A357,Female,31,NJ,BFI,29.0
A358,Female,35,NY,BFI,32.0
A359,Male,18,NY,EPI,10.0
A360,Male,22,NY,BFI,27.0
A361,Female,17,NY,BFI,19.0
A362,Male,31,NJ,BFI,19.0
A363,Male,26,NJ,EPI,16.0
A364,Female,35,NJ,EPI,18.0
A365,Male,33,NY,EPI,11.0
A366,Male,21,NJ,BFI,27.0
A367,Female,20,NJ,BFI,20.0
A368,Female,26,NJ,BFI,31.0
A369,Male,33,NY,EPI,14.0
A370,Male,26,NY,EPI,7.0
A371,Female,33,NY,EPI,17.0
A372,Female,21,NJ,EPI,7.0
A373,Female,18,NJ,BFI,21.0
A374,Female,22,NJ,EPI,12.0
A375,Male,18,NY,BFI,22.0
A376,Female,29,NY,BFI,17.0
A377,Female,27,NJ,EPI,14.0
A378,Male,27,NY,EPI,8.0
A379,Female,32,NY,BFI,17.0
A380,Male,27,NY,BFI,26.0
A381,Female,35,NY,EPI,8.0
A382,Female,31,NJ,BFI,29.0
A383,Female,32,NY,BFI,25.0
A384,Male,27,NY,EPI,17.0
A385,Male,32,NY,BFI,22.0
A386,Female,24,NY,EPI,10.0
A387,Male,20,NJ,BFI,28.0
A388,Male,24,NJ,BFI,15.0
A389,Male,20,NY,EPI,13.0
A390,Male,19,NY,BFI,23.0
A391,Male,19,NY,BFI,21.0
A392,Male,34,NY,EPI,14.0
A393,Female,35,NY,EPI,16.0
A394,Female,35,NY,EPI,18.0
A395,Male,21,NJ,BFI,29.0
A396,Female,34,NY,BFI,25.0
A397,Female,26,NJ,EPI,16.0
A398,Female,22,NJ,EPI,11.0
A399,Female,17,NY,EPI,10.0
A400,Male,21,NJ,EPI,11.0
A401,Female,25,NJ,BFI,25.0
A402,Female,28,NJ,EPI,24.0
A403,Male,30,NJ,EPI,15.0
A404,Male,18,NJ,EPI,16.0
A405,Female,33,NJ,BFI,23.0
A406,Female,30,NY,BFI,31.0
A407,Female,29,NJ,EPI,14.0
A408,Female,25,NJ,BFI,10.0
A409,Female,31,NJ,EPI,13.0
A410,Female,31,NY,BFI,21.0
A411,Male,27,NJ,BFI,29.0
A412,Female,32,NY,BFI,22.0
A413,Female,33,NJ,BFI,19.0
A414,Male,20,NY,BFI,23.0
A415,Male,17,NY,EPI,10.0
A416,Male,24,NJ,BFI,26.0
A417,Male,33,NJ,BFI,8.0
A418,Female,19,NY,BFI,24.0
A419,Female,31,NJ,BFI,24.0
A420,Female,31,NY,BFI,23.0
A421,Female,30,NY,BFI,19.0
A422,Female,30,NY,BFI,30.0
A423,Female,18,NY,EPI,13.0
A424,Male,29,NY,EPI,12.0
A425,Female,30,NJ,EPI,9.0
A426,Male,35,NY,BFI,22.0
A427,Male,23,NY,BFI,29.0
A428,Female,19,NJ,BFI,23.0
A429,Male,31,NY,EPI,12.0
A430,Female,30,NJ,EPI,8.0
A431,Male,27,NJ,BFI,22.0
A432,Female,31,NJ,EPI,24.0
A433,Male,29,NY,BFI,23.0
A434,Female,34,NY,BFI,26.0
A435,Female,22,NY,BFI,21.0
A436,Female,19,NJ,BFI,27.0
A437,Female,35,NY,EPI,24.0
A438,Female,31,NJ,EPI,11.0
A439,Male,21,NY,BFI,23.0
A440,Male,26,NJ,EPI,17.0
A441,Male,23,NY,BFI,23.0
A442,Female,33,NY,BFI,28.0
A443,Male,23,NY,BFI,17.0
A444,Female,28,NJ,BFI,25.0
A445,Female,33,NJ,EPI,9.0
A446,Male,29,NY,EPI,15.0
A447,Male,20,NY,BFI,28.0
A448,Female,26,NJ,BFI,10.0
A449,Male,19,NJ,EPI,9.0
A450,Female,25,NJ,BFI,21.0
A451,Female,29,NY,BFI,25.0
A452,Female,34,NJ,BFI,22.0
A453,Female,31,NY,BFI,23.0
A454,Female,20,NJ,EPI,15.0
A455,Male,31,NY,EPI,9.0
A456,Male,18,NJ,BFI,30.0
A457,Female,31,NJ,BFI,21.0
A458,Female,24,NJ,EPI,14.0
A459,Male,24,NJ,EPI,13.0
A460,Male,33,NJ,EPI,8.0
A461,Female,28,NY,BFI,25.0
A462,Male,35,NJ,EPI,6.0
A463,Female,26,NJ,BFI,30.0
A464,Male,25,NJ,EPI,12.0
A465,Female,21,NY,EPI,22.0
A466,Male,22,NJ,BFI,13.0
A467,Female,18,NY,BFI,20.0
A468,Male,29,NJ,BFI,25.0
A469,Male,22,NJ,BFI,19.0
A470,Female,21,NY,BFI,25.0
A471,Male,17,NJ,EPI,10.0
A472,Female,22,NY,EPI,23.0
A473,Male,22,NY,EPI,8.0
A474,Female,32,NJ,BFI,17.0
A475,Male,20,NY,EPI,10.0
A476,Female,27,NJ,EPI,15.0
A477,Male,25,NJ,EPI,13.0
A478,Female,19,NY,BFI,32.0
A479,Male,35,NY,EPI,7.0
A480,Female,24,NY,BFI,18.0
A481,Female,21,NY,BFI,22.0
A482,Female,20,NJ,BFI,29.0
A483,Male,22,NJ,BFI,24.0
A484,Female,18,NY,EPI,12.0
A485,Male,27,NJ,EPI,13.0
A486,Female,20,NJ,BFI,28.0
A487,Male,31,NJ,EPI,14.0
A488,Female,22,NJ,EPI,10.0
A489,Male,33,NY,EPI,13.0
A490,Male,22,NY,BFI,22.0
A491,Female,35,NJ,BFI,15.0
A492,Male,18,NY,BFI,29.0
A493,Male,31,NY,EPI,13.0
A494,Female,27,NY,EPI,19.0
A495,Male,24,NJ,BFI,32.0
A496,Male,35,NJ,BFI,29.0
A497,Male,29,NJ,BFI,27.0
A498,Female,28,NY,BFI,10.0
A499,Male,21,NJ,EPI,9.0
A500,Female,22,NJ,BFI,23.0
